host,vacuum,difference_core,difference_shoulder,difference_total,aligned
0.000000000000e+00,1.000000000000e+00,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,0.000000000000e+00
1.000000000000e-03,9.999990000000e-01,9.999840001200e-01,3.658807602220e-05,1.000020588196e+00,1.033857013214e-05
2.000000000000e-03,9.999960000000e-01,9.999360019200e-01,1.463512916033e-04,1.000082353212e+00,4.135370818947e-05
3.000000000000e-03,9.999910000000e-01,9.998560097196e-01,3.292866092780e-04,1.000185296329e+00,9.304369718260e-05
4.000000000000e-03,9.999840000000e-01,9.997440307177e-01,5.853889665741e-04,1.000329419684e+00,1.654056755557e-04
5.000000000000e-03,9.999750000000e-01,9.996000749912e-01,9.146512759683e-04,1.000514726267e+00,2.584356373261e-04
6.000000000000e-03,9.999640000000e-01,9.994241554939e-01,1.317064424823e-03,1.000741219919e+00,3.721284322801e-04
7.000000000000e-03,9.999510000000e-01,9.992162880541e-01,1.792617275306e-03,1.001008905329e+00,5.064777662242e-04
8.000000000000e-03,9.999360000000e-01,9.989764913732e-01,2.341296664294e-03,1.001317788038e+00,6.614762012923e-04
9.000000000000e-03,9.999190000000e-01,9.987047870225e-01,2.963087403252e-03,1.001667874426e+00,8.371151563091e-04
1.000000000000e-02,9.999000000000e-01,9.984011994402e-01,3.657972278107e-03,1.002059171718e+00,1.033384907209e-03
1.100000000000e-02,9.998790000000e-01,9.980657559283e-01,4.425932049088e-03,1.002491687977e+00,1.250274587511e-03
1.200000000000e-02,9.998560000000e-01,9.976984866486e-01,5.266945450563e-03,1.002965432099e+00,1.487772188849e-03
1.300000000000e-02,9.998310000000e-01,9.972994246185e-01,6.180989190851e-03,1.003480413809e+00,1.745864561559e-03
1.400000000000e-02,9.998040000000e-01,9.968686057061e-01,7.168037952015e-03,1.004036643658e+00,2.024537415320e-03
1.500000000000e-02,9.997750000000e-01,9.964060686259e-01,8.228064389643e-03,1.004634133016e+00,2.323775319854e-03
1.600000000000e-02,9.997440000000e-01,9.959118549326e-01,9.361039132609e-03,1.005272894065e+00,2.643561705676e-03
1.700000000000e-02,9.997110000000e-01,9.953860090156e-01,1.056693078281e-02,1.005952939798e+00,2.983878864909e-03
1.800000000000e-02,9.996760000000e-01,9.948285780932e-01,1.184570591491e-02,1.006674284008e+00,3.344707952144e-03
1.900000000000e-02,9.996390000000e-01,9.942396122052e-01,1.319732907603e-02,1.007436941281e+00,3.726028985364e-03
2.000000000000e-02,9.996000000000e-01,9.936191642065e-01,1.462176278542e-02,1.008240926992e+00,4.127820846919e-03
2.100000000000e-02,9.995590000000e-01,9.929672897597e-01,1.611896753422e-02,1.009086257294e+00,4.550061284559e-03
2.200000000000e-02,9.995160000000e-01,9.922840473270e-01,1.768890178499e-02,1.009972949112e+00,4.992726912519e-03
2.300000000000e-02,9.994710000000e-01,9.915694981622e-01,1.933152197147e-02,1.010901020134e+00,5.455793212666e-03
2.400000000000e-02,9.994240000000e-01,9.908237063024e-01,2.104678249812e-02,1.011870488801e+00,5.939234535697e-03
2.500000000000e-02,9.993750000000e-01,9.900467385585e-01,2.283463573979e-02,1.012881374298e+00,6.443024102390e-03
2.600000000000e-02,9.993240000000e-01,9.892386645066e-01,2.469503204125e-02,1.013933696548e+00,6.967134004918e-03
2.700000000000e-02,9.992710000000e-01,9.883995564777e-01,2.662791971683e-02,1.015027476194e+00,7.511535208211e-03
2.800000000000e-02,9.992160000000e-01,9.875294895477e-01,2.863324504992e-02,1.016162734598e+00,8.076197551378e-03
2.900000000000e-02,9.991590000000e-01,9.866285415276e-01,3.071095229256e-02,1.017339493820e+00,8.661089749181e-03
3.000000000000e-02,9.991000000000e-01,9.856967929515e-01,3.286098366491e-02,1.018557776616e+00,9.266179393570e-03
3.100000000000e-02,9.990390000000e-01,9.847343270666e-01,3.508327935485e-02,1.019817606421e+00,9.891432955265e-03
3.200000000000e-02,9.989760000000e-01,9.837412298208e-01,3.737777751737e-02,1.021119007338e+00,1.053681578540e-02
3.300000000000e-02,9.989110000000e-01,9.827175898509e-01,3.974441427414e-02,1.022462004125e+00,1.120229211722e-02
3.400000000000e-02,9.988440000000e-01,9.816634984707e-01,4.218312371290e-02,1.023846622184e+00,1.188782506782e-02
3.500000000000e-02,9.987750000000e-01,9.805790496576e-01,4.469383788699e-02,1.025272887545e+00,1.259337663999e-02
3.600000000000e-02,9.987040000000e-01,9.794643400404e-01,4.727648681470e-02,1.026740826855e+00,1.331890772403e-02
3.700000000000e-02,9.986310000000e-01,9.783194688850e-01,4.993099847874e-02,1.028250467364e+00,1.406437809968e-02
3.800000000000e-02,9.985560000000e-01,9.771445380813e-01,5.265729882566e-02,1.029801836907e+00,1.482974643812e-02
3.900000000000e-02,9.984790000000e-01,9.759396521287e-01,5.545531176518e-02,1.031394963894e+00,1.561497030397e-02
4.000000000000e-02,9.984000000000e-01,9.747049181219e-01,5.832495916961e-02,1.033029877291e+00,1.642000615737e-02
4.100000000000e-02,9.983190000000e-01,9.734404457357e-01,6.126616087323e-02,1.034706606609e+00,1.724480935612e-02
4.200000000000e-02,9.982360000000e-01,9.721463472103e-01,6.427883467159e-02,1.036425181882e+00,1.808933415788e-02
4.300000000000e-02,9.981510000000e-01,9.708227373351e-01,6.736289632087e-02,1.038185633656e+00,1.895353372241e-02
4.400000000000e-02,9.980640000000e-01,9.694697334336e-01,7.051825953719e-02,1.039987992971e+00,1.983736011387e-02
4.500000000000e-02,9.979750000000e-01,9.680874553466e-01,7.374483599595e-02,1.041832291343e+00,2.074076430315e-02
4.600000000000e-02,9.978840000000e-01,9.666760254158e-01,7.704253533110e-02,1.043718560747e+00,2.166369617033e-02
4.700000000000e-02,9.977910000000e-01,9.652355684671e-01,8.041126513441e-02,1.045646833602e+00,2.260610450710e-02
4.800000000000e-02,9.976960000000e-01,9.637662117932e-01,8.385093095476e-02,1.047617142748e+00,2.356793701930e-02
4.900000000000e-02,9.975990000000e-01,9.622680851361e-01,8.736143629742e-02,1.049629521434e+00,2.454914032946e-02
5.000000000000e-02,9.975000000000e-01,9.607413206691e-01,9.094268262324e-02,1.051684003292e+00,2.554965997947e-02
5.100000000000e-02,9.973990000000e-01,9.591860529790e-01,9.459456934792e-02,1.053780622327e+00,2.656944043322e-02
5.200000000000e-02,9.972960000000e-01,9.576024190470e-01,9.831699384125e-02,1.055919412888e+00,2.760842507937e-02
5.300000000000e-02,9.971910000000e-01,9.559905582304e-01,1.021098514263e-01,1.058100409657e+00,2.866655623411e-02
5.400000000000e-02,9.970840000000e-01,9.543506122432e-01,1.059730353786e-01,1.060323647622e+00,2.974377514398e-02
5.500000000000e-02,9.969750000000e-01,9.526827251367e-01,1.099064369253e-01,1.062589162062e+00,3.084002198883e-02
5.600000000000e-02,9.968640000000e-01,9.509870432798e-01,1.139099452445e-01,1.064896988524e+00,3.195523588473e-02
5.700000000000e-02,9.967510000000e-01,9.492637153386e-01,1.179834474643e-01,1.067247162803e+00,3.308935488693e-02
5.800000000000e-02,9.966360000000e-01,9.475128922568e-01,1.221268286620e-01,1.069639720919e+00,3.424231599301e-02
5.900000000000e-02,9.965190000000e-01,9.457347272342e-01,1.263399718631e-01,1.072074699097e+00,3.541405514591e-02
6.000000000000e-02,9.964000000000e-01,9.439293757063e-01,1.306227580408e-01,1.074552133747e+00,3.660450723711e-02
6.100000000000e-02,9.962790000000e-01,9.420969953229e-01,1.349750661146e-01,1.077072061438e+00,3.781360610986e-02
6.200000000000e-02,9.961560000000e-01,9.402377459267e-01,1.393967729500e-01,1.079634518877e+00,3.904128456247e-02
6.300000000000e-02,9.960310000000e-01,9.383517895312e-01,1.438877533573e-01,1.082239542889e+00,4.028747435155e-02
6.400000000000e-02,9.959040000000e-01,9.364392902991e-01,1.484478800906e-01,1.084887170390e+00,4.155210619547e-02
6.500000000000e-02,9.957750000000e-01,9.345004145196e-01,1.530770238472e-01,1.087577438367e+00,4.283510977773e-02
6.600000000000e-02,9.956440000000e-01,9.325353305858e-01,1.577750532665e-01,1.090310383852e+00,4.413641375050e-02
6.700000000000e-02,9.955110000000e-01,9.305442089721e-01,1.625418349291e-01,1.093086043901e+00,4.545594573806e-02
6.800000000000e-02,9.953760000000e-01,9.285272222110e-01,1.673772333559e-01,1.095904455567e+00,4.679363234047e-02
6.900000000000e-02,9.952390000000e-01,9.264845448694e-01,1.722811110074e-01,1.098765655877e+00,4.814939913717e-02
7.000000000000e-02,9.951000000000e-01,9.244163535253e-01,1.772533282822e-01,1.101669681808e+00,4.952317069066e-02
7.100000000000e-02,9.949590000000e-01,9.223228267440e-01,1.822937435166e-01,1.104616570261e+00,5.091487055026e-02
7.200000000000e-02,9.948160000000e-01,9.202041450535e-01,1.874022129835e-01,1.107606358037e+00,5.232442125590e-02
7.300000000000e-02,9.946710000000e-01,9.180604909206e-01,1.925785908914e-01,1.110639081812e+00,5.375174434195e-02
7.400000000000e-02,9.945240000000e-01,9.158920487262e-01,1.978227293834e-01,1.113714778110e+00,5.519676034114e-02
7.500000000000e-02,9.943750000000e-01,9.136990047402e-01,2.031344785364e-01,1.116833483277e+00,5.665938878849e-02
7.600000000000e-02,9.942240000000e-01,9.114815470968e-01,2.085136863599e-01,1.119995233457e+00,5.813954822530e-02
7.700000000000e-02,9.940710000000e-01,9.092398657692e-01,2.139601987954e-01,1.123200064565e+00,5.963715620325e-02
7.800000000000e-02,9.939160000000e-01,9.069741525437e-01,2.194738597150e-01,1.126448012259e+00,6.115212928843e-02
7.900000000000e-02,9.937590000000e-01,9.046846009945e-01,2.250545109208e-01,1.129739111915e+00,6.268438306556e-02
8.000000000000e-02,9.936000000000e-01,9.023714064576e-01,2.307019921437e-01,1.133073398601e+00,6.423383214216e-02
8.100000000000e-02,9.934390000000e-01,9.000347660045e-01,2.364161410426e-01,1.136450907047e+00,6.580039015281e-02
8.200000000000e-02,9.932760000000e-01,8.976748784161e-01,2.421967932033e-01,1.139871671619e+00,6.738396976346e-02
8.300000000000e-02,9.931110000000e-01,8.952919441563e-01,2.480437821374e-01,1.143335726294e+00,6.898448267579e-02
8.400000000000e-02,9.929440000000e-01,8.928861653450e-01,2.539569392817e-01,1.146843104627e+00,7.060183963162e-02
8.500000000000e-02,9.927750000000e-01,8.904577457315e-01,2.599360939969e-01,1.150393839728e+00,7.223595041735e-02
8.600000000000e-02,9.926040000000e-01,8.880068906670e-01,2.659810735667e-01,1.153987964234e+00,7.388672386849e-02
8.700000000000e-02,9.924310000000e-01,8.855338070781e-01,2.720917031969e-01,1.157625510275e+00,7.555406787421e-02
8.800000000000e-02,9.922560000000e-01,8.830387034387e-01,2.782678060145e-01,1.161306509453e+00,7.723788938196e-02
8.900000000000e-02,9.920790000000e-01,8.805217897427e-01,2.845092030664e-01,1.165030992809e+00,7.893809440210e-02
9.000000000000e-02,9.919000000000e-01,8.779832774762e-01,2.908157133187e-01,1.168798990795e+00,8.065458801262e-02
9.100000000000e-02,9.917190000000e-01,8.754233795900e-01,2.971871536559e-01,1.172610533246e+00,8.238727436393e-02
9.200000000000e-02,9.915360000000e-01,8.728423104709e-01,3.036233388793e-01,1.176465649350e+00,8.413605668363e-02
9.300000000000e-02,9.913510000000e-01,8.702402859138e-01,3.101240817068e-01,1.180364367621e+00,8.590083728137e-02
9.400000000000e-02,9.911640000000e-01,8.676175230937e-01,3.166891927715e-01,1.184306715865e+00,8.768151755377e-02
9.500000000000e-02,9.909750000000e-01,8.649742405368e-01,3.233184806209e-01,1.188292721158e+00,8.947799798936e-02
9.600000000000e-02,9.907840000000e-01,8.623106580919e-01,3.300117517158e-01,1.192322409808e+00,9.129017817363e-02
9.700000000000e-02,9.905910000000e-01,8.596269969019e-01,3.367688104295e-01,1.196395807331e+00,9.311795679398e-02
9.800000000000e-02,9.903960000000e-01,8.569234793750e-01,3.435894590468e-01,1.200512938422e+00,9.496123164495e-02
9.900000000000e-02,9.901990000000e-01,8.542003291556e-01,3.504734977633e-01,1.204673826919e+00,9.681989963327e-02
1.000000000000e-01,9.900000000000e-01,8.514577710949e-01,3.574207246841e-01,1.208878495779e+00,9.869385678309e-02
1.010000000000e-01,9.897990000000e-01,8.486960312224e-01,3.644309358231e-01,1.213126967045e+00,1.005829982413e-01
1.020000000000e-01,9.895960000000e-01,8.459153367161e-01,3.715039251020e-01,1.217419261818e+00,1.024872182825e-01
1.030000000000e-01,9.893910000000e-01,8.431159158732e-01,3.786394843497e-01,1.221755400223e+00,1.044064103150e-01
1.040000000000e-01,9.891840000000e-01,8.402979980810e-01,3.858374033010e-01,1.226135401382e+00,1.063404668856e-01
1.050000000000e-01,9.889750000000e-01,8.374618137866e-01,3.930974695960e-01,1.230559283383e+00,1.082892796850e-01
1.060000000000e-01,9.887640000000e-01,8.346075944681e-01,4.004194687791e-01,1.235027063247e+00,1.102527395539e-01
1.070000000000e-01,9.885510000000e-01,8.317355726041e-01,4.078031842981e-01,1.239538756902e+00,1.122307364879e-01
1.080000000000e-01,9.883360000000e-01,8.288459816444e-01,4.152483975037e-01,1.244094379148e+00,1.142231596435e-01
1.090000000000e-01,9.881190000000e-01,8.259390559801e-01,4.227548876482e-01,1.248693943628e+00,1.162298973433e-01
1.100000000000e-01,9.879000000000e-01,8.230150309136e-01,4.303224318849e-01,1.253337462799e+00,1.182508370822e-01
1.110000000000e-01,9.876790000000e-01,8.200741426284e-01,4.379508052675e-01,1.258024947896e+00,1.202858655325e-01
1.120000000000e-01,9.874560000000e-01,8.171166281593e-01,4.456397807487e-01,1.262756408908e+00,1.223348685504e-01
1.130000000000e-01,9.872310000000e-01,8.141427253625e-01,4.533891291802e-01,1.267531854543e+00,1.243977311810e-01
1.140000000000e-01,9.870040000000e-01,8.111526728850e-01,4.611986193114e-01,1.272351292196e+00,1.264743376649e-01
1.150000000000e-01,9.867750000000e-01,8.081467101350e-01,4.690680177888e-01,1.277214727924e+00,1.285645714436e-01
1.160000000000e-01,9.865440000000e-01,8.051250772510e-01,4.769970891552e-01,1.282122166406e+00,1.306683151657e-01
1.170000000000e-01,9.863110000000e-01,8.020880150724e-01,4.849855958491e-01,1.287073610921e+00,1.327854506926e-01
1.180000000000e-01,9.860760000000e-01,7.990357651086e-01,4.930332982040e-01,1.292069063313e+00,1.349158591050e-01
1.190000000000e-01,9.858390000000e-01,7.959685695091e-01,5.011399544477e-01,1.297108523957e+00,1.370594207085e-01
1.200000000000e-01,9.856000000000e-01,7.928866710330e-01,5.093053207015e-01,1.302191991735e+00,1.392160150402e-01
1.210000000000e-01,9.853590000000e-01,7.897903130191e-01,5.175291509796e-01,1.307319463999e+00,1.413855208743e-01
1.220000000000e-01,9.851160000000e-01,7.866797393552e-01,5.258111971888e-01,1.312490936544e+00,1.435678162291e-01
1.230000000000e-01,9.848710000000e-01,7.835551944480e-01,5.341512091272e-01,1.317706403575e+00,1.457627783722e-01
1.240000000000e-01,9.846240000000e-01,7.804169231928e-01,5.425489344846e-01,1.322965857677e+00,1.479702838280e-01
1.250000000000e-01,9.843750000000e-01,7.772651709434e-01,5.510041188408e-01,1.328269289784e+00,1.501902083830e-01
1.260000000000e-01,9.841240000000e-01,7.741001834817e-01,5.595165056660e-01,1.333616689148e+00,1.524224270929e-01
1.270000000000e-01,9.838710000000e-01,7.709222069875e-01,5.680858363199e-01,1.339008043307e+00,1.546668142887e-01
1.280000000000e-01,9.836160000000e-01,7.677314880084e-01,5.767118500511e-01,1.344443338059e+00,1.569232435832e-01
1.290000000000e-01,9.833590000000e-01,7.645282734294e-01,5.853942839967e-01,1.349922557426e+00,1.591915878777e-01
1.300000000000e-01,9.831000000000e-01,7.613128104434e-01,5.941328731821e-01,1.355445683625e+00,1.614717193684e-01
1.310000000000e-01,9.828390000000e-01,7.580853465202e-01,6.029273505203e-01,1.361012697040e+00,1.637635095529e-01
1.320000000000e-01,9.825760000000e-01,7.548461293774e-01,6.117774468114e-01,1.366623576189e+00,1.660668292372e-01
1.330000000000e-01,9.823110000000e-01,7.515954069498e-01,6.206828907428e-01,1.372278297693e+00,1.683815485421e-01
1.340000000000e-01,9.820440000000e-01,7.483334273596e-01,6.296434088880e-01,1.377976836248e+00,1.707075369101e-01
1.350000000000e-01,9.817750000000e-01,7.450604388870e-01,6.386587257072e-01,1.383719164594e+00,1.730446631120e-01
1.360000000000e-01,9.815040000000e-01,7.417766899397e-01,6.477285635462e-01,1.389505253486e+00,1.753927952537e-01
1.370000000000e-01,9.812310000000e-01,7.384824290237e-01,6.568526426368e-01,1.395335071660e+00,1.777518007835e-01
1.380000000000e-01,9.809560000000e-01,7.351779047134e-01,6.660306810961e-01,1.401208585809e+00,1.801215464985e-01
1.390000000000e-01,9.806790000000e-01,7.318633656223e-01,6.752623949265e-01,1.407125760549e+00,1.825018985515e-01
1.400000000000e-01,9.804000000000e-01,7.285390603731e-01,6.845474980156e-01,1.413086558389e+00,1.848927224586e-01
1.410000000000e-01,9.801190000000e-01,7.252052375688e-01,6.938857021359e-01,1.419090939705e+00,1.872938831054e-01
1.420000000000e-01,9.798360000000e-01,7.218621457630e-01,7.032767169449e-01,1.425138862708e+00,1.897052447549e-01
1.430000000000e-01,9.795510000000e-01,7.185100334312e-01,7.127202499848e-01,1.431230283416e+00,1.921266710537e-01
1.440000000000e-01,9.792640000000e-01,7.151491489410e-01,7.222160066827e-01,1.437365155624e+00,1.945580250401e-01
1.450000000000e-01,9.789750000000e-01,7.117797405237e-01,7.317636903503e-01,1.443543430874e+00,1.969991691503e-01
1.460000000000e-01,9.786840000000e-01,7.084020562453e-01,7.413630021844e-01,1.449765058430e+00,1.994499652266e-01
1.470000000000e-01,9.783910000000e-01,7.050163439776e-01,7.510136412663e-01,1.456029985244e+00,2.019102745237e-01
1.480000000000e-01,9.780960000000e-01,7.016228513698e-01,7.607153045628e-01,1.462338155933e+00,2.043799577169e-01
1.490000000000e-01,9.777990000000e-01,6.982218258196e-01,7.704676869254e-01,1.468689512745e+00,2.068588749087e-01
1.500000000000e-01,9.775000000000e-01,6.948135144454e-01,7.802704810911e-01,1.475083995536e+00,2.093468856367e-01
1.510000000000e-01,9.771990000000e-01,6.913981640574e-01,7.901233776825e-01,1.481521541740e+00,2.118438488805e-01
1.520000000000e-01,9.768960000000e-01,6.879760211302e-01,8.000260652081e-01,1.488002086338e+00,2.143496230698e-01
1.530000000000e-01,9.765910000000e-01,6.845473317743e-01,8.099782300624e-01,1.494525561837e+00,2.168640660912e-01
1.540000000000e-01,9.762840000000e-01,6.811123417084e-01,8.199795565263e-01,1.501091898235e+00,2.193870352963e-01
